"dimension","target","sampler","seed","ESS1","mean1","var1","median1","Q1_1","Q3_1","ESS2","mean2","var2","median2","Q1_2","Q3_2","ESS3","mean3","var3","median3","Q1_3","Q3_3","ESS4","mean4","var4","median4","Q1_4","Q3_4"
4,"Logistic regression",RRWMH,1,1837.2983976608675,-1.003466516751759,0.04763450585318352,-0.9976249006353721,-1.1537914970489018,-0.8550306251580675,1443.6618887486527,-0.3300176058885739,0.09541785165914009,-0.3231295804528347,-0.5338237728710636,-0.12666874710809328,1860.896591634664,2.519324976541116,0.07932549276740719,2.504345247248405,2.3156200806986673,2.702307767323225,2031.587763971693,1.2631974044566516,0.03549895258961877,1.2558770753473945,1.1387904620733154,1.3818395991492596
4,"Logistic regression",RRWMH,2,1847.5835884957705,-1.0035918924535199,0.05017192360675993,-1.004089822604559,-1.1520528572620627,-0.8527625489211557,1599.8349645283138,-0.34438565888232153,0.09946422626417654,-0.3400753811488855,-0.5565335985645481,-0.13123258774633795,1879.8476097678767,2.541094609857331,0.0786390410861495,2.531490559340652,2.352162213881869,2.726526357988483,2113.1355166815565,1.268243321704241,0.0347192358249504,1.256516977981554,1.138789247684715,1.391455980538312
4,"Logistic regression",RRWMH,3,1780.827670405518,-1.0003971328071748,0.05050398987362015,-0.9910684023523577,-1.1541191304779852,-0.8463562780366459,1647.5470426642341,-0.3333571738927613,0.09714782120422703,-0.33265845586765724,-0.553575023674215,-0.1174733504422917,1629.774801474283,2.5349491536707447,0.07985813408391351,2.5227474812378756,2.3410023758748686,2.7273772156438403,2127.616910352805,1.2716830272546336,0.03695311787821076,1.2618757899411546,1.1419520603802105,1.4047418722554572
4,"Logistic regression",RRWMH,4,1960.038816334412,-1.0053738085755175,0.04848995324321126,-1.0015321066365495,-1.1563204386664363,-0.8533974231193355,1593.9888943622216,-0.33419680524585305,0.09431347353813632,-0.3295006388771325,-0.54965595545491,-0.12708476902372504,1795.2895222521195,2.5418014656670773,0.08013943724786632,2.520695233174089,2.34009289254613,2.729283308675776,2030.3530583015972,1.2708239843708542,0.03722217112866666,1.2642908463115723,1.1337028083830845,1.3993949959757892
4,"Logistic regression",RRWMH,5,2013.7344310594108,-1.0002779359901597,0.04721602026356031,-1.000565579997711,-1.1432223220263515,-0.8577666555117307,1830.6590626819461,-0.34639575355869234,0.09434917194753868,-0.34220661755130877,-0.555534087817756,-0.13255773078850192,1902.0345577057722,2.5397968836001774,0.07599144424993476,2.532970762402135,2.347164877511511,2.718758072769858,2081.901881395951,1.2748162541655,0.036125895288851906,1.2741420179251153,1.1417421667523973,1.3973383977864366
4,"Logistic regression",RRWMH,6,1860.4231378530126,-0.9966681512760475,0.04887440867345416,-0.9946816959778788,-1.1435124570803712,-0.8502608497660038,1670.5505572568786,-0.34145866475730935,0.09736541578094053,-0.3370084705379645,-0.5575098616345325,-0.12213328252570693,1645.983337062146,2.5391955680935316,0.077902894331916,2.5280106547596812,2.3472840296394044,2.727187713160903,2038.5502530151873,1.2725786023870003,0.03645512854930466,1.2677555995712662,1.1447773151386091,1.3985275022625787
4,"Logistic regression",RRWMH,7,1734.427516753254,-0.9998634988157535,0.045140896472192216,-0.9940009516517843,-1.1414387574947418,-0.861349932780982,1538.3682947332752,-0.33605024715407494,0.09615599908442748,-0.3359600232576836,-0.5453449758809646,-0.12252367423890692,1665.1380204165498,2.5328144149433904,0.07532883335099871,2.5217986601499365,2.343369799483062,2.71019152408162,1836.2823315279688,1.2706173544806738,0.0352115799988999,1.2633918159784203,1.1453734274422362,1.398702548992419
4,"Logistic regression",RRWMH,8,1737.2635777571702,-1.0084371365106077,0.04811160677764725,-1.0123735230568462,-1.1509779377973837,-0.8584445973335689,1670.2459712203272,-0.3485702999096642,0.096920033959541,-0.3435455915917985,-0.5490664314447432,-0.1416807617729029,1866.8311259676584,2.557994845892969,0.07906072978981538,2.538027371239926,2.3733417758707347,2.7394373582078373,2161.9732315468086,1.273855654580341,0.035291382034233765,1.2679278386833392,1.1487756942592058,1.396569217114973
4,"Logistic regression",RRWMH,9,1893.1571810158803,-0.9955151841540029,0.047211723997009125,-0.987119768045772,-1.1362348184322242,-0.8480041920052295,1502.1838377541521,-0.3490711271160453,0.09671045695446776,-0.34868807013303743,-0.5594689690493146,-0.14055791249160154,1750.8367536573292,2.534807149072227,0.0783099412891497,2.511663206833914,2.342921939916396,2.7138753547970293,2010.6015826095613,1.273453419926617,0.03598720253847221,1.264731632554073,1.1401204107634915,1.3929325006231368
4,"Logistic regression",RRWMH,10,1789.4107946873542,-0.997420348136656,0.0484319256352006,-0.999652428204111,-1.1476729182623622,-0.8423680587010798,1384.4532224547438,-0.3429428283361019,0.09222416018788382,-0.34320673381356104,-0.5460076843260816,-0.13082898594548564,1656.1152522609368,2.5481353194622574,0.08030623914363844,2.536242317110286,2.350272571969991,2.727451916097351,2111.2093070497567,1.2699027157242133,0.035546630750889374,1.2683699271446045,1.1385099061069126,1.395007140964832
4,"Logistic regression",AM,1,2802.73267604994,-1.0004027614718238,0.04788689319063799,-0.997776884675524,-1.145341826224946,-0.8549984749926163,2881.9414708708014,-0.3484607904206482,0.09563065223930324,-0.345756015385142,-0.5576430915077496,-0.13528786639018198,2541.680967719097,2.5461065404631946,0.07881910147040294,2.5347954030007145,2.3519913894316242,2.723387209156354,3133.511393418089,1.2749302960963809,0.036104804493303444,1.2699295280417464,1.1450077867670359,1.40035790713361
4,"Logistic regression",AM,2,2761.894135526689,-1.0036354655558437,0.04871445943235808,-0.9994792333673547,-1.14802646350237,-0.8542458812841092,2611.6831732356595,-0.33804127429783926,0.09690429893487082,-0.33419297797187125,-0.5484298516542195,-0.1256950730992018,3072.0710884829623,2.536439346471475,0.07846988770991992,2.5273798482626324,2.3467913214021037,2.7211203286523356,2734.9591181947517,1.2700655610636475,0.0371158579833899,1.2648434261894705,1.1387500516057267,1.3960912901265274
4,"Logistic regression",AM,3,2516.895512318828,-1.0084548165147842,0.048506242839122526,-1.0036965590895468,-1.1530959043565923,-0.8602481102270289,2955.142822853776,-0.33607201988670443,0.09520548893898301,-0.3315123794107401,-0.5416258318067989,-0.12850383894751682,2413.207189458796,2.5500064438511907,0.07981873370910275,2.5360988899881045,2.3553534875669033,2.7311851048456313,2448.8659443654747,1.28023776441369,0.03679777220050329,1.2738806279974884,1.1508546339264376,1.4021686687495747
4,"Logistic regression",AM,4,2820.010594294348,-0.9966465806524647,0.04691601361291309,-0.9936250430127389,-1.1396292505296253,-0.8507880529866665,2671.7475074080035,-0.34674961278510347,0.09448448154739988,-0.3466055512333226,-0.5561692678275911,-0.13844406801831446,2884.8342284238743,2.5464898894751165,0.07958117392473874,2.535260241174336,2.352254119643729,2.7288513333094206,2759.105154673098,1.2700648638762677,0.03706756697899327,1.262269416235182,1.1373755357883588,1.3966003383187355
4,"Logistic regression",AM,5,2846.82865708389,-1.0113250196109616,0.04706268503593658,-1.008402023769316,-1.1530897144857775,-0.8654421684685957,2713.236523055309,-0.33209512490420917,0.09438101769232274,-0.3253389031614578,-0.5400066537322995,-0.12600816409328985,2734.9271342442325,2.546054073776105,0.08073451217640581,2.5373289919930655,2.3486720917039814,2.7287692913567803,2427.453039423769,1.2731701862701665,0.03744001314406242,1.2653267284998353,1.1414261747479741,1.396854892478825
4,"Logistic regression",AM,6,2865.595903157269,-1.004343836023612,0.04836689858131615,-0.9972175708236096,-1.1512433854897541,-0.8526978991057881,2875.930773092595,-0.34261000856970786,0.09581761220857808,-0.3423873663186003,-0.5481118858212016,-0.13700687944052165,2615.822454204684,2.539866206074169,0.08044908390145444,2.52574398540557,2.341903336508099,2.7218094705648195,2610.694610733678,1.267537764347513,0.03701547623992685,1.2618590003704628,1.1355624053755282,1.3930975974529811
4,"Logistic regression",AM,7,2764.699275230106,-0.9978241903462282,0.048155195293169584,-0.994019597105469,-1.1457473726919738,-0.8463769435334926,2938.773784734262,-0.34244472465551706,0.09411437835337287,-0.3373557216533001,-0.5491247081373527,-0.13567029678050074,2953.5853943478523,2.536807588573465,0.08109452557321006,2.5248634237837444,2.3409730645098894,2.7177436411483127,2666.684103112797,1.2691043480488826,0.03580920455400527,1.2616732249053113,1.1388272243995603,1.392135300549236
4,"Logistic regression",AM,8,2783.7730316782454,-1.0080510696371323,0.04615143112371478,-1.0071021396204922,-1.1480958176590665,-0.8594805212265574,2497.3655822412397,-0.33430589527123417,0.0939927317262969,-0.33360709516859177,-0.5392877978082486,-0.12223058637694922,2875.5301234742265,2.5471568151185044,0.07879327613905307,2.535498791035709,2.356563387880353,2.72333294025917,2896.742371479099,1.2703902191888785,0.03566555323663967,1.2611235026402134,1.1403403624236947,1.396313271743109
4,"Logistic regression",AM,9,2747.7884383305454,-0.9996828935260648,0.048999202191111424,-0.9978026285095494,-1.1463457526143932,-0.8496269263472453,2879.8087459445387,-0.33752026392399614,0.09504742771850269,-0.33420253722201876,-0.5469778953520453,-0.12564081982872455,2827.1390444458284,2.5364746901628075,0.08014949167009533,2.5254639813316313,2.3396739474176393,2.7164807726455305,2653.1343680293126,1.2679591256625147,0.03715370844339705,1.2634369932729537,1.1353863408673066,1.3933094396911427
4,"Logistic regression",AM,10,2646.7808872830556,-1.0009858034374908,0.047499182512263705,-0.9945956529685405,-1.1445810890126287,-0.8504729186667828,2570.7880401542816,-0.3434546555084133,0.0939126071763331,-0.34079663649925634,-0.5479550498929218,-0.13486577122985643,3102.6600652078905,2.536616404180381,0.07879477298067794,2.5228535650120127,2.340715331346664,2.715431646270922,2850.5275767461612,1.268065191797389,0.03496625000653397,1.2649138381594334,1.1401806876433942,1.3925601169106017
