"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1","ESS2","mean2","var2","median2","Q1_2","Q3_2"
2,"Normal mixture",RRWMH,1,748.0373978518635,755.7134481966393,-0.23300192556470792,7.384800786491183,0.6350384560577788,-1.3020621481695975,1.671669996034385,740.3613475070878,0.09238345135187052,7.020631977859403,-0.11350029469781142,-1.6099374923069283,1.9836047394591194
2,"Normal mixture",RRWMH,2,911.6612786630822,1004.1822338305218,-0.08130479130474041,7.043877999622661,0.7802187033559653,-0.9751971748010593,1.7497471181042183,819.1403234956424,0.12286697700523438,7.410782851699869,-0.05291668558924334,-1.675030649512451,2.1594997850618225
2,"Normal mixture",RRWMH,3,868.8326369958995,788.1794465974158,0.07287393627966277,6.722265332880582,0.850783366926914,-0.6764857424430555,1.8002609063437673,949.4858273943833,0.09828341225074147,7.57311687386796,5.4180155588667844e-6,-1.715061905183818,2.1679091160096737
2,"Normal mixture",RRWMH,4,887.500500638844,910.6030156277384,-0.0912269466016449,7.3282175705696515,0.7952975231062102,-0.9617752523964476,1.7615949145956697,864.3979856499495,-0.05345422942172719,7.46413808936841,-0.23314119121437438,-1.8986455298138385,1.9567905178147327
2,"Normal mixture",RRWMH,5,798.5793898398522,829.9874034014885,-0.12716166123967937,7.3826717045301,0.75645092033008,-1.1235321262468436,1.7435198679771244,767.171376278216,-0.0027944790597354595,7.277957273153483,-0.19416379459313582,-1.793837968117181,1.9725544295769681
2,"Normal mixture",RRWMH,6,875.1319680020647,834.2152253731425,-0.11438693101741934,7.309379069396983,0.7781553659837832,-1.153453119743426,1.7620668142557074,916.0487106309869,-0.03170468099577866,7.435884084715502,-0.24175728440441002,-1.8594960312816098,1.965096084696613
2,"Normal mixture",RRWMH,7,895.957906678791,830.5698122516357,-0.19150224796788468,7.673314354072052,0.7296422193125742,-1.2722799968257452,1.7172525606571698,961.3460011059465,0.06551293669259241,7.194334661470755,-0.11550468147805684,-1.704494457239714,2.0341884214037647
2,"Normal mixture",RRWMH,8,762.1570256554455,869.5664922505864,-0.20847010046989067,7.547938590194123,0.726340279951311,-1.4072781171079507,1.727002707799349,654.7475590603045,0.051407643012952066,7.494964276421182,-0.1709395097283194,-1.7460289713250439,2.084903737274301
2,"Normal mixture",RRWMH,9,802.4288575956114,808.3584095175006,-0.038042474599805684,6.875566814594264,0.8069902774185201,-0.9100091195300452,1.745647657157875,796.4993056737221,-0.010580037545428484,7.414531409038319,-0.17469681692581018,-1.8257135957257882,2.0071464578426625
2,"Normal mixture",RRWMH,10,732.1294074332718,776.3635545931314,-0.020614065380159186,7.010200581919566,0.819062503043992,-0.7837982276078532,1.758783767112611,687.8952602734121,0.031845074712155204,7.495692367007425,-0.08762164409153383,-1.8379197339610158,2.125228831644295
2,"Normal mixture",AM,1,1682.1850374839355,1812.3970739006154,-0.2129265805979347,8.050787092529823,0.7452218375757884,-1.1780379091931632,1.710225090903087,1551.9730010672556,-0.00238393564684858,7.4148948103720125,-0.1701757816774152,-1.8250340166909456,1.9619992423761623
2,"Normal mixture",AM,2,1652.0893215533179,1723.689861975754,-0.08176595783522284,7.571477228267548,0.8104634800802565,-1.021767821209397,1.8099460069723359,1580.4887811308818,-0.1373792154512545,7.6296544488350495,-0.2899322615561055,-2.0087051167542826,1.9152625132159842
2,"Normal mixture",AM,3,1745.9189781494479,1905.2911931513815,-0.0830603118174918,7.1156995825535265,0.7650504965166793,-0.9786870575209119,1.7306700957094212,1586.546763147514,0.14431038126878085,7.422307112305561,-0.00020499373556459588,-1.676881575738625,2.1803343763504226
2,"Normal mixture",AM,4,1498.9018919406383,1599.3127891298104,-0.040936559175792676,7.1866488264045465,0.8130215694001633,-0.9052410234447767,1.7848769103667004,1398.4909947514661,-0.033150160699372405,7.644945094466892,-0.17622973815301124,-1.934094894583927,2.0755110425267542
2,"Normal mixture",AM,5,1674.7616899209017,1782.9207333514796,-0.18889192811229108,7.655813659871233,0.7350703893933836,-1.24305804241135,1.7221194264843787,1566.6026464903239,0.022009387198366488,7.216541191524404,-0.14270336163227193,-1.764950358930707,2.024878446006783
2,"Normal mixture",AM,6,1620.8683078932272,1738.468546088895,-0.19322503168308808,7.759193805800552,0.7439407961327144,-1.3152926769736029,1.7538217213884901,1503.2680696975597,-0.028208450758036758,7.374392779169153,-0.25683571073127354,-1.8445070554267304,2.0154161913578887
2,"Normal mixture",AM,7,1619.0423288367203,1861.84710576311,-0.05723422591894415,7.3451029267549774,0.8305158362330235,-0.9508918579423169,1.7881034155271442,1376.2375519103307,-0.024036490876351343,7.960491441636203,-0.2092672389607808,-1.903277283815739,2.088290107007673
2,"Normal mixture",AM,8,1571.0826369594074,1597.759946914957,-0.14286056811663805,7.513328672688395,0.7507145612174453,-1.0497403441652546,1.7397519427618042,1544.4053270038578,0.04337999729165299,7.474458399419081,-0.0985882262027431,-1.7811431647583247,2.043068626647936
2,"Normal mixture",AM,9,1546.3828332096916,1693.8337872053169,-0.26511195911385865,8.052168928732591,0.7332298665258365,-1.3909433965207039,1.7120394822388088,1398.9318792140664,-0.08018820905225711,7.449624507066983,-0.29583346724585546,-1.9263001931324149,1.9591334886601854
2,"Normal mixture",AM,10,1628.3836276730917,1796.658320998859,-0.18374764904510818,7.58369491866512,0.7181337504583003,-1.232006771623865,1.7410091458722703,1460.1089343473245,0.045131965695216436,7.3412140184478245,-0.14677665471587847,-1.7522770627772624,2.0422995080913053
2,"Normal mixture",exact,1,89942.01614629646,89851.82214600284,-0.17720967409515295,7.715896911686244,0.7418439141682922,-1.2129490817526514,1.7372217636621468,90032.21014659009,0.0002805991228547099,7.426058421724204,-0.1963429598054427,-1.8176448638008575,2.0079128572093587
